nro_curso,cod_materia,profesor,nombre,virtual,h_desde,h_hasta,dia,id_cuatrimestre,id_prof,hora_desde,hora_hasta,Es_Individual
9145,PNO,PH,1er. Cuatrimestre 2023,0,1900-01-01 14:00:00.000,1900-01-01 16:00:00.000,Lunes,57,204,14:00,16:00,1
9146,CAN,NOM,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 10:30:00.000,Lunes,57,21,10:00,10:30,1
8918,GUIB,PAN,1er. Cuatrimestre 2023,0,1900-01-01 12:00:00.000,1900-01-01 13:00:00.000,Lunes,57,122,12:00,13:00,0
8919,GUIB,EP,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:00:00.000,Lunes,57,160,13:00,14:00,0
8920,GUIB,EP,1er. Cuatrimestre 2023,0,1900-01-01 15:00:00.000,1900-01-01 16:00:00.000,Lunes,57,160,15:00,16:00,0
8921,GUIB,EP,1er. Cuatrimestre 2023,0,1900-01-01 16:00:00.000,1900-01-01 17:00:00.000,Lunes,57,160,16:00,17:00,0
8922,GUIB,EP,1er. Cuatrimestre 2023,0,1900-01-01 18:00:00.000,1900-01-01 19:00:00.000,Lunes,57,160,18:00,19:00,0
8923,GRA,PLR,1er. Cuatrimestre 2023,0,1900-01-01 11:00:00.000,1900-01-01 14:00:00.000,Lunes,57,8,11:00,14:00,0
8926,EBLU,PAN,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Lunes,57,122,13:00,14:30,0
8927,EROC,PAN,1er. Cuatrimestre 2023,0,1900-01-01 17:30:00.000,1900-01-01 19:00:00.000,Lunes,57,122,17:30,19:00,0
8928,GUIA,PAN,1er. Cuatrimestre 2023,0,1900-01-01 16:30:00.000,1900-01-01 18:30:00.000,Lunes,57,122,16:30,18:30,0
8929,TIM1,CC,1er. Cuatrimestre 2023,0,1900-01-01 19:30:00.000,1900-01-01 21:00:00.000,Lunes,57,24,19:30,21:00,0
8930,TIM2,CC,1er. Cuatrimestre 2023,0,1900-01-01 18:00:00.000,1900-01-01 19:30:00.000,Lunes,57,24,18:00,19:30,0
8931,PNO,GT,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:00:00.000,Lunes,57,17,10:00,11:00,1
8932,IPM,SB,1er. Cuatrimestre 2023,1,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Lunes,57,127,17:00,18:30,0
8933,PR2,SB,1er. Cuatrimestre 2023,1,1900-01-01 15:30:00.000,1900-01-01 17:00:00.000,Lunes,57,127,15:30,17:00,0
8934,TAM,SB,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Lunes,57,127,18:30,20:00,0
8937,PNO,GT,1er. Cuatrimestre 2023,1,1900-01-01 18:00:00.000,1900-01-01 20:00:00.000,Lunes,57,17,18:00,20:00,1
8940,APC4,JPR,1er. Cuatrimestre 2023,0,1900-01-01 13:30:00.000,1900-01-01 15:00:00.000,Lunes,57,12,13:30,15:00,0
8949,TIM2,CC,1er. Cuatrimestre 2023,1,1900-01-01 15:00:00.000,1900-01-01 16:30:00.000,Lunes,57,24,15:00,16:30,0
8950,GRA,FR,1er. Cuatrimestre 2023,1,1900-01-01 17:00:00.000,1900-01-01 19:00:00.000,Lunes,57,159,17:00,19:00,0
8951,MEZ2,PLR,1er. Cuatrimestre 2023,1,1900-01-01 16:00:00.000,1900-01-01 17:30:00.000,Lunes,57,8,16:00,17:30,0
8952,MAS,PLR,1er. Cuatrimestre 2023,1,1900-01-01 17:30:00.000,1900-01-01 19:00:00.000,Lunes,57,8,17:30,19:00,0
8953,PNO,IA,1er. Cuatrimestre 2023,1,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Lunes,57,171,17:00,18:30,1
8961,APC1,DJ,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Martes,57,6,11:30,13:00,0
8962,APC2,JPA,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Martes,57,30,13:00,14:30,0
8963,GUIA,JPA,1er. Cuatrimestre 2023,0,1900-01-01 14:30:00.000,1900-01-01 15:30:00.000,Martes,57,30,14:30,15:30,0
8964,GUIB,CMZ,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:00:00.000,Martes,57,104,13:00,14:00,0
8965,INA2,CMZ,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Martes,57,104,11:30,13:00,0
8966,NTM2,PH,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Martes,57,204,13:00,14:30,0
8967,PNOC,GT,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Martes,57,17,13:00,14:30,0
8968,PNO,GT,1er. Cuatrimestre 2023,0,1900-01-01 15:00:00.000,1900-01-01 17:00:00.000,Martes,57,17,15:00,17:00,1
