fecha;hora;id_alumno;nro_curso;tipo
8/8/2024;04:38:12;5362;9733;E
8/8/2024;05:22:30;4222;9946;I
8/8/2024;05:24:49;5498;9849;I
8/8/2024;05:26:13;4865;9874;I
8/8/2024;05:33:16;5175;9870;I
8/8/2024;05:37:10;5309;9946;I
8/8/2024;05:42:34;4968;9688;I
8/8/2024;05:44:35;4222;9705;I
8/8/2024;05:46:05;5169;9946;I
8/8/2024;05:46:21;5169;9698;E
8/9/2024;12:00:58;22;9700;E
8/9/2024;10:31:19;5022;9755;I
8/9/2024;10:45:16;5509;9755;I
8/9/2024;11:05:22;5509;9846;E
8/9/2024;12:05:07;5846;9959;I
8/9/2024;12:15:32;5838;9939;I
8/9/2024;12:23:54;3056;9858;I
8/9/2024;12:24:53;3056;9868;I
8/9/2024;01:41:55;5130;9728;I
8/9/2024;01:42:02;5716;9715;I
8/9/2024;01:42:20;5716;9968;I
8/9/2024;02:19:55;5859;9966;I
8/9/2024;02:58:14;5558;9690;I
8/9/2024;03:14:10;5795;9735;I
8/9/2024;04:42:22;5672;9859;E
8/9/2024;05:00:21;3835;9734;I
8/9/2024;05:13:01;5455;9762;I
8/9/2024;05:41:37;5808;9808;I
8/11/2024;06:37:08;5634;9854;I
8/11/2024;06:37:31;5634;9854;E
8/11/2024;06:38:14;5634;9854;I
8/11/2024;06:38:33;5634;9863;I
8/11/2024;07:34:40;5764;9813;I
8/11/2024;07:36:11;5764;9873;I
8/11/2024;07:36:18;5764;9965;E
8/11/2024;07:39:40;5764;9872;I
8/12/2024;09:08:57;5607;9830;I
8/12/2024;09:50:28;4528;9956;E
8/12/2024;11:29:19;5892;9743;E
8/12/2024;11:47:32;5704;9777;E
8/12/2024;11:47:35;5704;9873;E
8/12/2024;12:06:26;5675;9884;I
8/12/2024;12:10:47;3732;9884;I
8/12/2024;12:17:45;5698;9846;I
8/12/2024;12:21:32;5463;9788;I
8/12/2024;12:35:11;5463;9788;E
8/12/2024;12:39:14;5463;9788;I
8/12/2024;12:51:08;5525;9951;E
8/12/2024;12:59:52;5349;9879;I
8/12/2024;01:01:24;5349;9952;I
8/12/2024;01:02:21;5349;9952;E
8/12/2024;01:02:49;5349;9828;I
8/12/2024;01:03:16;5349;9970;I
8/12/2024;01:29:39;5118;9789;I
8/12/2024;01:43:02;5055;9704;I
8/12/2024;01:54:03;5349;9970;E
8/12/2024;01:58:22;5904;9965;I
8/12/2024;01:58:46;5904;9768;I
8/12/2024;03:02:33;5201;9847;I
8/12/2024;03:02:39;5201;9874;E
8/12/2024;03:58:47;5057;9753;I
8/12/2024;04:58:17;4870;9704;E
8/12/2024;05:08:34;5057;9709;E
8/12/2024;05:08:39;5637;9709;I
8/12/2024;05:08:49;5764;9703;I
8/12/2024;05:30:53;5865;9703;I
8/12/2024;05:51:09;5468;9743;I
8/12/2024;05:53:01;5468;9952;I
8/12/2024;05:56:31;5468;9727;I
8/12/2024;07:17:21;5904;9951;I
8/12/2024;10:45:46;5672;9965;I
8/12/2024;11:42:14;5905;9768;I
8/12/2024;11:42:51;5905;9706;I
8/13/2024;10:07:43;5899;9740;E
8/13/2024;10:07:46;5899;9743;E
8/13/2024;10:07:49;5899;9844;E
8/13/2024;10:07:52;5899;9867;E
8/13/2024;11:35:14;5850;9867;I
8/13/2024;11:35:46;5650;9877;E
8/13/2024;11:36:20;5650;9851;I
8/13/2024;11:51:45;3056;9765;I
8/13/2024;12:18:56;5362;9733;I
8/13/2024;12:55:49;5847;9743;I
8/13/2024;01:58:20;5300;9778;I
8/13/2024;03:47:58;4222;9767;E
8/13/2024;05:14:17;5468;9727;E
8/13/2024;05:14:19;5468;9743;E
8/13/2024;05:14:22;5468;9952;E
8/13/2024;05:57:25;5273;9820;E
8/14/2024;10:42:12;5688;9720;E
8/14/2024;10:44:37;5273;9711;E
8/14/2024;11:20:02;5425;9735;E
8/14/2024;12:22:35;5868;9717;E
8/14/2024;01:40:44;5735;9886;I
8/14/2024;02:25:52;4937;9931;E
8/14/2024;02:40:52;5702;9813;I
8/14/2024;04:25:49;5346;9740;I
8/14/2024;10:07:35;5773;9708;E
8/14/2024;10:07:59;5773;9844;I
8/14/2024;10:08:58;5773;9967;I
8/14/2024;10:38:34;3056;9831;I
8/15/2024;09:01:04;5828;9966;E
8/15/2024;09:01:13;5828;9966;I
8/15/2024;10:42:26;5030;9857;E
8/15/2024;11:04:06;5862;9770;I
8/15/2024;11:09:39;5862;9769;E
8/15/2024;11:32:16;4566;9848;E
8/15/2024;11:32:35;4566;9884;I
8/8/2024;04:38:12;5362;9733;E
8/8/2024;05:22:30;4222;9946;I
8/8/2024;05:24:49;5498;9849;I
8/8/2024;05:26:13;4865;9874;I
8/8/2024;05:33:16;5175;9870;I
8/8/2024;05:37:10;5309;9946;I
8/8/2024;05:42:34;4968;9688;I
8/8/2024;05:44:35;4222;9705;I
8/8/2024;05:46:05;5169;9946;I
8/8/2024;05:46:21;5169;9698;E
8/9/2024;12:00:58;22;9700;E
8/9/2024;10:31:19;5022;9755;I
8/9/2024;10:45:16;5509;9755;I
8/9/2024;11:05:22;5509;9846;E
8/9/2024;12:05:07;5846;9959;I
8/9/2024;12:15:32;5838;9939;I
8/9/2024;12:23:54;3056;9858;I
8/9/2024;12:24:53;3056;9868;I
8/9/2024;01:41:55;5130;9728;I
8/9/2024;01:42:02;5716;9715;I
8/9/2024;01:42:20;5716;9968;I
8/9/2024;02:19:55;5859;9966;I
8/9/2024;02:58:14;5558;9690;I
8/9/2024;03:14:10;5795;9735;I
8/9/2024;04:42:22;5672;9859;E
8/9/2024;05:00:21;3835;9734;I
8/9/2024;05:13:01;5455;9762;I
8/9/2024;05:41:37;5808;9808;I
8/11/2024;06:37:08;5634;9854;I
8/11/2024;06:37:31;5634;9854;E
8/11/2024;06:38:14;5634;9854;I
8/11/2024;06:38:33;5634;9863;I
8/11/2024;07:34:40;5764;9813;I
8/11/2024;07:36:11;5764;9873;I
8/11/2024;07:36:18;5764;9965;E
8/11/2024;07:39:40;5764;9872;I
8/12/2024;09:08:57;5607;9830;I
8/12/2024;09:50:28;4528;9956;E
8/12/2024;11:29:19;5892;9743;E
8/12/2024;11:47:32;5704;9777;E
8/12/2024;11:47:35;5704;9873;E
8/12/2024;12:06:26;5675;9884;I
8/12/2024;12:10:47;3732;9884;I
8/12/2024;12:17:45;5698;9846;I
8/12/2024;12:21:32;5463;9788;I
8/12/2024;12:35:11;5463;9788;E
8/12/2024;12:39:14;5463;9788;I
8/12/2024;12:51:08;5525;9951;E
8/12/2024;12:59:52;5349;9879;I
8/12/2024;01:01:24;5349;9952;I
8/12/2024;01:02:21;5349;9952;E
8/12/2024;01:02:49;5349;9828;I
8/12/2024;01:03:16;5349;9970;I
8/12/2024;01:29:39;5118;9789;I
8/12/2024;01:43:02;5055;9704;I
8/12/2024;01:54:03;5349;9970;E
8/12/2024;01:58:22;5904;9965;I
8/12/2024;01:58:46;5904;9768;I
8/12/2024;03:02:33;5201;9847;I
8/12/2024;03:02:39;5201;9874;E
8/12/2024;03:58:47;5057;9753;I
8/12/2024;04:58:17;4870;9704;E
8/12/2024;05:08:34;5057;9709;E
8/12/2024;05:08:39;5637;9709;I
8/12/2024;05:08:49;5764;9703;I
8/12/2024;05:30:53;5865;9703;I
8/12/2024;05:51:09;5468;9743;I
8/12/2024;05:53:01;5468;9952;I
8/12/2024;05:56:31;5468;9727;I
8/12/2024;07:17:21;5904;9951;I
8/12/2024;10:45:46;5672;9965;I
8/12/2024;11:42:14;5905;9768;I
8/12/2024;11:42:51;5905;9706;I
8/13/2024;10:07:43;5899;9740;E
8/13/2024;10:07:46;5899;9743;E
8/13/2024;10:07:49;5899;9844;E
8/13/2024;10:07:52;5899;9867;E
8/13/2024;11:35:14;5850;9867;I
8/13/2024;11:35:46;5650;9877;E
8/13/2024;11:36:20;5650;9851;I
8/13/2024;11:51:45;3056;9765;I
8/13/2024;12:18:56;5362;9733;I
8/13/2024;12:55:49;5847;9743;I
8/13/2024;01:58:20;5300;9778;I
8/13/2024;03:47:58;4222;9767;E
8/13/2024;05:14:17;5468;9727;E
8/13/2024;05:14:19;5468;9743;E
8/13/2024;05:14:22;5468;9952;E
8/13/2024;05:57:25;5273;9820;E
8/14/2024;10:42:12;5688;9720;E
8/14/2024;10:44:37;5273;9711;E
8/14/2024;11:20:02;5425;9735;E
8/14/2024;12:22:35;5868;9717;E
8/14/2024;01:40:44;5735;9886;I
8/14/2024;02:25:52;4937;9931;E
8/14/2024;02:40:52;5702;9813;I
8/14/2024;04:25:49;5346;9740;I
8/14/2024;10:07:35;5773;9708;E
8/14/2024;10:07:59;5773;9844;I
8/14/2024;10:08:58;5773;9967;I
8/14/2024;10:38:34;3056;9831;I
8/15/2024;09:01:04;5828;9966;E
8/15/2024;09:01:13;5828;9966;I
8/15/2024;10:42:26;5030;9857;E
8/15/2024;11:04:06;5862;9770;I
8/15/2024;11:09:39;5862;9769;E
8/15/2024;11:32:16;4566;9848;E
8/15/2024;11:32:35;4566;9884;I
8/8/2024;04:38:12;5362;9733;E
8/8/2024;05:22:30;4222;9946;I
8/8/2024;05:24:49;5498;9849;I
8/8/2024;05:26:13;4865;9874;I
8/8/2024;05:33:16;5175;9870;I
8/8/2024;05:37:10;5309;9946;I
8/8/2024;05:42:34;4968;9688;I
8/8/2024;05:44:35;4222;9705;I
8/8/2024;05:46:05;5169;9946;I
8/8/2024;05:46:21;5169;9698;E
8/9/2024;12:00:58;22;9700;E
8/9/2024;10:31:19;5022;9755;I
8/9/2024;10:45:16;5509;9755;I
8/9/2024;11:05:22;5509;9846;E
8/9/2024;12:05:07;5846;9959;I
8/9/2024;12:15:32;5838;9939;I
8/9/2024;12:23:54;3056;9858;I
8/9/2024;12:24:53;3056;9868;I
8/9/2024;01:41:55;5130;9728;I
8/9/2024;01:42:02;5716;9715;I
8/9/2024;01:42:20;5716;9968;I
8/9/2024;02:19:55;5859;9966;I
8/9/2024;02:58:14;5558;9690;I
8/9/2024;03:14:10;5795;9735;I
8/9/2024;04:42:22;5672;9859;E
8/9/2024;05:00:21;3835;9734;I
8/9/2024;05:13:01;5455;9762;I
8/9/2024;05:41:37;5808;9808;I
8/11/2024;06:37:08;5634;9854;I
8/11/2024;06:37:31;5634;9854;E
8/11/2024;06:38:14;5634;9854;I
8/11/2024;06:38:33;5634;9863;I
8/11/2024;07:34:40;5764;9813;I
8/11/2024;07:36:11;5764;9873;I
8/11/2024;07:36:18;5764;9965;E
8/11/2024;07:39:40;5764;9872;I
8/12/2024;09:08:57;5607;9830;I
8/12/2024;09:50:28;4528;9956;E
8/12/2024;11:29:19;5892;9743;E
8/12/2024;11:47:32;5704;9777;E
8/12/2024;11:47:35;5704;9873;E
8/12/2024;12:06:26;5675;9884;I
8/12/2024;12:10:47;3732;9884;I
8/12/2024;12:17:45;5698;9846;I
8/12/2024;12:21:32;5463;9788;I
8/12/2024;12:35:11;5463;9788;E
8/12/2024;12:39:14;5463;9788;I
8/12/2024;12:51:08;5525;9951;E
8/12/2024;12:59:52;5349;9879;I
8/12/2024;01:01:24;5349;9952;I
8/12/2024;01:02:21;5349;9952;E
8/12/2024;01:02:49;5349;9828;I
8/12/2024;01:03:16;5349;9970;I
8/12/2024;01:29:39;5118;9789;I
8/12/2024;01:43:02;5055;9704;I
8/12/2024;01:54:03;5349;9970;E
8/12/2024;01:58:22;5904;9965;I
8/12/2024;01:58:46;5904;9768;I
8/12/2024;03:02:33;5201;9847;I
8/12/2024;03:02:39;5201;9874;E
8/12/2024;03:58:47;5057;9753;I
8/12/2024;04:58:17;4870;9704;E
8/12/2024;05:08:34;5057;9709;E
8/12/2024;05:08:39;5637;9709;I
8/12/2024;05:08:49;5764;9703;I
8/12/2024;05:30:53;5865;9703;I
8/12/2024;05:51:09;5468;9743;I
8/12/2024;05:53:01;5468;9952;I
8/12/2024;05:56:31;5468;9727;I
8/12/2024;07:17:21;5904;9951;I
8/12/2024;10:45:46;5672;9965;I
8/12/2024;11:42:14;5905;9768;I
8/12/2024;11:42:51;5905;9706;I
8/13/2024;10:07:43;5899;9740;E
8/13/2024;10:07:46;5899;9743;E
8/13/2024;10:07:49;5899;9844;E
8/13/2024;10:07:52;5899;9867;E
8/13/2024;11:35:14;5850;9867;I
8/13/2024;11:35:46;5650;9877;E
8/13/2024;11:36:20;5650;9851;I
8/13/2024;11:51:45;3056;9765;I
8/13/2024;12:18:56;5362;9733;I
8/13/2024;12:55:49;5847;9743;I
8/13/2024;01:58:20;5300;9778;I
8/13/2024;03:47:58;4222;9767;E
8/13/2024;05:14:17;5468;9727;E
8/13/2024;05:14:19;5468;9743;E
8/13/2024;05:14:22;5468;9952;E
8/13/2024;05:57:25;5273;9820;E
8/14/2024;10:42:12;5688;9720;E
8/14/2024;10:44:37;5273;9711;E
8/14/2024;11:20:02;5425;9735;E
8/14/2024;12:22:35;5868;9717;E
8/14/2024;01:40:44;5735;9886;I
8/14/2024;02:25:52;4937;9931;E
8/14/2024;02:40:52;5702;9813;I
8/14/2024;04:25:49;5346;9740;I
8/14/2024;10:07:35;5773;9708;E
8/14/2024;10:07:59;5773;9844;I
8/14/2024;10:08:58;5773;9967;I
8/14/2024;10:38:34;3056;9831;I
8/15/2024;09:01:04;5828;9966;E
8/15/2024;09:01:13;5828;9966;I
8/15/2024;10:42:26;5030;9857;E
8/15/2024;11:04:06;5862;9770;I
8/15/2024;11:09:39;5862;9769;E
8/15/2024;11:32:16;4566;9848;E
8/15/2024;11:32:35;4566;9884;I
8/7/2024;10:59:52;5638;9782;I
8/7/2024;11:00:13;5673;9927;I
8/7/2024;11:00:29;5673;9744;I
8/7/2024;11:00:41;5661;9924;I
8/7/2024;11:00:55;5673;9730;I
8/7/2024;11:00:56;5661;9927;I
8/7/2024;11:01:14;5661;9926;I
8/7/2024;11:01:58;5673;9812;I
8/7/2024;11:02:00;5650;9862;I
8/7/2024;11:02:11;5673;9709;I
8/7/2024;11:02:30;5673;9715;I
8/7/2024;11:03:06;5753;9701;I
8/7/2024;11:03:14;5657;9793;I
8/7/2024;11:03:23;5753;9744;I
8/7/2024;11:03:26;5657;9812;I
8/7/2024;11:03:43;5753;9812;I
8/7/2024;11:04:03;5753;9800;I
8/7/2024;11:04:35;5753;9862;I
8/7/2024;11:04:40;5736;9774;I
8/7/2024;11:04:43;5657;9805;I
8/7/2024;11:04:52;5657;9808;I
8/7/2024;11:06:06;5725;9924;I
8/7/2024;11:06:08;5736;9862;I
8/7/2024;11:06:13;5736;9862;E
8/7/2024;11:06:24;5725;9927;I
8/7/2024;11:07:08;5736;9924;I
8/7/2024;11:07:09;5864;9938;I
8/7/2024;11:07:19;5736;9927;I
8/7/2024;11:07:35;5736;9926;I
8/7/2024;11:08:27;5725;9853;I
8/7/2024;11:08:48;5681;9709;I
8/7/2024;11:09:15;5681;9801;I
8/7/2024;11:09:34;5681;9882;I
8/7/2024;11:09:51;5693;9741;I
8/7/2024;11:09:56;4796;9780;I
8/7/2024;11:09:56;5681;9941;I
8/7/2024;11:10:06;5693;9744;I
8/7/2024;11:10:53;5725;9851;I
8/7/2024;11:11:08;5780;9924;I
8/7/2024;11:11:12;5725;9865;I
8/7/2024;11:11:17;5780;9927;I
8/7/2024;11:11:28;5780;9926;I
8/7/2024;11:11:42;5780;9739;I
8/7/2024;11:12:10;5693;9850;I
8/7/2024;11:12:25;5546;9882;I
8/7/2024;11:12:49;5832;9740;I
8/7/2024;11:12:58;5546;9825;I
8/7/2024;11:13:01;5693;9813;I
8/7/2024;11:13:05;5832;9859;I
8/7/2024;11:13:17;5832;9867;I
8/7/2024;11:13:25;5546;9884;I
8/7/2024;11:13:50;5832;9730;I
8/7/2024;11:13:57;5824;9743;I
8/7/2024;11:14:13;5824;9799;I
8/7/2024;11:14:26;5824;9867;I
8/7/2024;11:14:51;5824;9727;I
8/7/2024;11:15:36;5684;9744;I
8/7/2024;11:15:39;5884;9804;I
8/7/2024;11:15:58;4210;9743;I
8/7/2024;11:16:02;5684;9853;I
8/7/2024;11:16:12;4210;9740;I
8/7/2024;11:16:54;5684;9865;I
8/7/2024;11:17:09;4210;9841;I
8/7/2024;11:18:29;5573;9881;I
8/7/2024;11:18:38;5856;9739;I
8/7/2024;11:19:00;5718;9924;I
8/7/2024;11:19:06;4781;9882;I
8/7/2024;11:19:10;5718;9927;I
8/7/2024;11:19:17;5856;9739;E
8/7/2024;11:19:37;4781;9741;I
8/7/2024;11:20:02;5856;9804;I
8/7/2024;11:20:02;4781;9926;I
8/7/2024;11:20:09;5856;9952;I
8/7/2024;11:20:39;4781;9929;I
8/7/2024;11:20:40;5749;9717;I
8/7/2024;11:22:05;5657;9808;E
8/7/2024;11:22:08;5710;9805;I
8/7/2024;11:22:49;5710;9801;I
8/7/2024;11:23:13;5708;9741;I
8/7/2024;11:23:32;5834;9743;I
8/7/2024;11:23:40;5634;9924;I
8/7/2024;11:23:50;5834;9799;I
8/7/2024;11:24:15;5634;9741;I
8/7/2024;11:24:38;5634;9778;I
8/7/2024;11:25:01;5634;9853;I
8/7/2024;11:25:21;5708;9924;I
8/7/2024;11:25:25;5625;9740;I
8/7/2024;11:25:35;5708;9812;I
8/7/2024;11:25:41;5625;9805;I
8/7/2024;11:26:25;5834;9728;I
8/7/2024;11:26:56;5708;9777;I
8/7/2024;11:28:26;5837;9804;I
8/7/2024;11:28:27;5634;9863;I
8/7/2024;11:28:53;5837;9952;I
8/7/2024;11:29:05;5677;9830;I
8/7/2024;11:29:14;5837;9867;I
8/7/2024;11:30:05;5769;9793;I
8/7/2024;11:30:22;5769;9812;I
8/7/2024;11:30:34;5769;9805;I
8/7/2024;11:30:52;5769;9801;I
8/7/2024;11:31:07;5837;9842;I
8/7/2024;11:31:28;5677;9940;I
8/7/2024;11:33:06;5769;9940;I
8/7/2024;11:33:19;5823;9743;I
8/7/2024;11:33:52;5823;9740;I
8/7/2024;11:34:21;5830;9743;I
8/7/2024;11:34:22;5781;9738;I
8/7/2024;11:34:40;5830;9799;I
8/7/2024;11:34:51;5781;9741;I
8/7/2024;11:35:08;5830;9773;I
8/7/2024;11:35:11;5823;9867;I
8/7/2024;11:35:48;5781;9853;I
8/7/2024;11:36:03;5548;9881;I
8/7/2024;11:37:02;5781;9882;I
8/7/2024;11:37:11;5896;9939;I
8/7/2024;11:37:12;5852;9697;I
8/7/2024;11:37:23;5781;9715;I
8/7/2024;11:37:26;5896;9938;I
8/7/2024;11:38:09;5852;9703;I
8/7/2024;11:38:31;5852;9924;I
8/7/2024;11:38:33;5901;9952;I
8/7/2024;11:38:50;5644;9805;I
8/7/2024;11:38:56;5757;9929;I
8/7/2024;11:39:05;5901;9804;I
8/7/2024;11:39:26;5757;9882;I
8/7/2024;11:39:27;5644;9944;I
8/7/2024;11:39:41;5757;9881;I
8/7/2024;11:39:46;5852;9801;I
8/7/2024;11:40:20;5757;9813;I
8/7/2024;11:40:29;5901;9840;I
8/7/2024;11:41:10;5644;9730;I
8/7/2024;11:41:41;5644;9800;I
8/7/2024;11:41:56;5757;9840;I
8/7/2024;11:42:09;5644;9926;I
8/7/2024;11:43:02;5901;9798;I
8/7/2024;11:44:28;5448;9741;I
8/7/2024;11:44:34;5791;9882;I
8/7/2024;11:44:43;5448;9926;I
8/7/2024;11:44:50;5791;9881;I
8/7/2024;11:45:06;5791;9878;I
8/7/2024;11:45:50;5791;9764;I
8/7/2024;11:46:36;5891;9811;I
8/7/2024;11:46:56;5891;9804;I
8/7/2024;11:47:10;5891;9952;I
8/7/2024;11:47:28;5762;9854;I
8/7/2024;11:47:34;5791;9945;I
8/7/2024;11:48:39;5781;9805;I
8/7/2024;11:48:58;5642;9741;I
8/7/2024;11:48:58;5781;9873;I
8/7/2024;11:49:16;5781;9854;I
8/7/2024;11:49:28;5762;9954;I
8/7/2024;11:49:46;5762;9828;I
8/7/2024;11:49:48;5891;9782;I
8/7/2024;11:50:16;5642;9725;I
8/7/2024;11:51:09;5845;9703;I
8/7/2024;11:51:25;5845;9804;I
8/7/2024;11:51:38;5845;9953;I
8/7/2024;11:51:56;5633;9882;I
8/7/2024;11:52:50;5642;9924;I
8/7/2024;11:53:07;5642;9853;I
8/7/2024;11:53:17;5857;9811;I
8/7/2024;11:53:34;5857;9804;I
8/7/2024;11:54:17;5857;9776;I
8/7/2024;11:54:21;5633;9880;I
8/7/2024;11:54:30;5857;9953;I
8/7/2024;11:56:13;5814;9796;I
8/7/2024;11:56:29;5814;9804;I
8/7/2024;11:56:39;5634;9854;E
8/7/2024;11:57:04;5883;9811;I
8/7/2024;11:58:05;5883;9840;I
8/7/2024;11:59:25;5787;9799;I
8/7/2024;12:00:44;5787;9845;I
8/7/2024;12:01:01;5787;9873;I
8/7/2024;12:01:07;5789;9882;I
8/7/2024;12:01:25;5789;9881;I
8/7/2024;12:01:25;5811;9730;I
8/7/2024;12:01:35;5811;9742;I
8/7/2024;12:01:41;5789;9937;I
8/7/2024;12:02:44;5811;9926;I
8/7/2024;12:03:07;5804;9854;I
8/7/2024;12:03:23;5804;9863;I
8/7/2024;12:05:51;5813;9826;I
8/7/2024;12:05:56;5606;9873;I
8/7/2024;12:06:09;5702;9924;I
8/7/2024;12:06:16;5606;9740;I
8/7/2024;12:06:34;5804;9695;I
8/7/2024;12:06:35;5813;9830;I
8/7/2024;12:06:36;5702;9800;I
8/7/2024;12:07:02;5804;9741;I
8/7/2024;12:07:45;5606;9954;I
8/7/2024;12:08:05;5804;9743;I
8/7/2024;12:08:08;5848;9717;I
8/7/2024;12:08:20;5848;9743;I
8/7/2024;12:08:25;5702;9812;I
8/7/2024;12:08:29;5848;9799;I
8/7/2024;12:09:38;5794;9882;I
8/7/2024;12:09:43;5848;9845;I
8/7/2024;12:11:18;5794;9800;I
8/7/2024;12:12:11;5794;9813;I
8/7/2024;12:12:15;5702;9844;I
8/7/2024;12:14:31;5842;9804;I
8/7/2024;12:15:26;5687;9805;I
8/7/2024;12:16:26;5794;9774;I
8/7/2024;12:17:12;5687;9774;I
8/7/2024;12:17:30;5514;9879;I
8/7/2024;12:19:21;5656;9811;I
8/7/2024;12:19:26;5685;9840;I
8/7/2024;12:19:39;5839;9740;I
8/7/2024;12:19:42;5656;9805;I
8/7/2024;12:19:54;5685;9801;I
8/7/2024;12:19:58;5839;9743;I
8/7/2024;12:20:44;5687;9952;I
8/7/2024;12:21:32;5647;9812;I
8/7/2024;12:21:33;5839;9815;I
8/7/2024;12:22:08;5687;9854;I
8/7/2024;12:22:54;5687;9845;I
8/7/2024;12:23:26;5647;9839;I
8/7/2024;12:23:40;5895;9804;I
8/7/2024;12:24:01;5895;9952;I
8/7/2024;12:24:15;5647;9924;I
8/7/2024;12:25:19;5895;9954;I
8/7/2024;12:25:28;5647;9800;I
8/7/2024;12:27:35;5892;9938;I
8/7/2024;12:27:41;5707;9917;I
8/7/2024;12:28:02;5707;9805;I
8/7/2024;12:28:23;5755;9854;I
8/7/2024;12:28:29;5707;9801;I
8/7/2024;12:28:32;5755;9742;I
8/7/2024;12:28:49;5755;9830;I
8/7/2024;12:28:51;5707;9926;I
8/7/2024;12:29:01;5892;9695;I
8/7/2024;12:30:29;5755;9703;I
8/7/2024;12:31:28;5279;9705;E
8/7/2024;12:32:27;5802;9740;I
8/7/2024;12:33:01;5730;9945;I
8/7/2024;12:33:05;5802;9740;E
8/7/2024;12:33:24;5892;9804;I
8/7/2024;12:33:27;5730;9825;I
8/7/2024;12:33:48;5730;9828;I
8/7/2024;12:34:03;5730;9882;I
8/7/2024;12:35:35;5760;9800;I
8/7/2024;12:35:58;5802;9740;I
8/7/2024;12:36:11;5666;9800;I
8/7/2024;12:36:15;5760;9727;I
8/7/2024;12:36:20;5802;9939;I
8/7/2024;12:36:36;5666;9926;I
8/7/2024;12:36:54;5858;9804;I
8/7/2024;12:36:57;5666;9882;I
8/7/2024;12:37:18;5858;9953;I
8/7/2024;12:37:33;5858;9811;I
8/7/2024;12:37:37;5666;9763;I
8/7/2024;12:38:05;5858;9868;I
8/7/2024;12:38:08;5666;9777;I
8/7/2024;12:39:18;5802;9795;I
8/7/2024;12:41:29;5637;9873;I
8/7/2024;12:41:49;5637;9854;I
8/7/2024;12:43:38;5637;9778;I
8/7/2024;12:43:49;5637;9800;I
8/7/2024;12:45:17;5637;9813;I
8/7/2024;12:46:03;5822;9743;I
8/7/2024;12:46:06;5849;9844;I
8/7/2024;12:46:21;5822;9740;I
8/7/2024;12:46:31;5849;9743;I
8/7/2024;12:46:37;5822;9867;I
8/7/2024;12:46:47;5849;9799;I
8/7/2024;12:47:22;5822;9844;I
8/7/2024;12:48:46;5436;9804;I
8/7/2024;12:49:06;5863;9939;I
8/7/2024;12:49:18;5863;9938;I
8/7/2024;12:49:35;5863;9811;I
8/7/2024;12:49:38;5849;9717;I
8/7/2024;12:49:48;5640;9830;I
8/7/2024;12:50:14;5464;9743;I
8/7/2024;12:50:30;5640;9800;I
8/7/2024;12:50:37;5464;9853;I
8/7/2024;12:50:56;5640;9926;I
8/7/2024;12:51:00;5464;9738;I
8/7/2024;12:51:30;5640;9777;I
8/7/2024;12:52:41;5863;9759;I
8/7/2024;12:53:44;5385;9805;I
8/7/2024;12:54:24;5385;9800;I
8/7/2024;12:54:58;5496;9830;I
8/7/2024;12:55:08;5385;9731;I
8/7/2024;12:56:16;5385;9863;I
8/7/2024;12:57:04;5496;9828;I
8/7/2024;12:57:41;5496;9929;I
8/7/2024;12:58:55;5853;9743;I
8/7/2024;12:59:02;5853;9740;I
